Index,TIME,V(OUT),V(IN)
95,1.00000004e-03,1.14725610e+00,1.92132431e-01
96,1.00000008e-03,1.14725603e+00,3.75998066e-01
97,1.00000015e-03,1.14725594e+00,7.43729336e-01
98,1.00000030e-03,1.14725593e+00,1.47919188e+00
99,1.00000059e-03,1.14725658e+00,2.95011696e+00
100,1.00000100e-03,1.14725897e+00,5.00000000e+00
101,1.00000106e-03,1.14725944e+00,5.00000000e+00
102,1.00000118e-03,1.14726037e+00,5.00000000e+00
103,1.00000141e-03,1.14726224e+00,5.00000000e+00
104,1.00000188e-03,1.14726598e+00,5.00000000e+00
105,1.00000282e-03,1.14727346e+00,5.00000000e+00
106,1.00000471e-03,1.14728842e+00,5.00000000e+00
107,1.00000847e-03,1.14731834e+00,5.00000000e+00
108,1.00001600e-03,1.14737818e+00,5.00000000e+00
109,1.00003107e-03,1.14749785e+00,5.00000000e+00
110,1.00006119e-03,1.14773718e+00,5.00000000e+00
111,1.00012144e-03,1.14821579e+00,5.00000000e+00
112,1.00024194e-03,1.14917284e+00,5.00000000e+00
113,1.00048293e-03,1.15108623e+00,5.00000000e+00
114,1.00096493e-03,1.15491016e+00,5.00000000e+00
115,1.00192891e-03,1.16254662e+00,5.00000000e+00
116,1.00385688e-03,1.17777410e+00,5.00000000e+00
117,1.00771282e-03,1.20804813e+00,5.00000000e+00
118,1.01542471e-03,1.26787967e+00,5.00000000e+00
119,1.03084848e-03,1.38473276e+00,5.00000000e+00
120,1.06169601e-03,1.60763207e+00,5.00000000e+00
121,1.09254355e-03,1.81678852e+00,5.00000000e+00
122,1.12339108e-03,2.01304944e+00,5.00000000e+00
123,1.15423861e-03,2.19720988e+00,5.00000000e+00
124,1.18508615e-03,2.37001591e+00,5.00000000e+00
125,1.21593368e-03,2.53216759e+00,5.00000000e+00
126,1.24678122e-03,2.68432180e+00,5.00000000e+00
127,1.27762875e-03,2.82709495e+00,5.00000000e+00
128,1.30847629e-03,2.96106541e+00,5.00000000e+00
129,1.33932382e-03,3.08677593e+00,5.00000000e+00
130,1.37017136e-03,3.20473577e+00,5.00000000e+00
131,1.40101889e-03,3.31542279e+00,5.00000000e+00
132,1.43186643e-03,3.41928540e+00,5.00000000e+00
133,1.49356150e-03,3.60837419e+00,5.00000000e+00
134,1.50000100e-03,3.62673312e+00,5.00000000e+00
135,1.50000101e-03,3.62673314e+00,4.96875000e+00
136,1.50000101e-03,3.62673316e+00,4.93750000e+00
137,1.50000103e-03,3.62673319e+00,4.87500000e+00
138,1.50000105e-03,3.62673325e+00,4.75000000e+00
139,1.50000110e-03,3.62673335e+00,4.50000000e+00
140,1.50000120e-03,3.62673348e+00,4.00000000e+00
141,1.50000140e-03,3.62673343e+00,3.00000000e+00
142,1.50000180e-03,3.62673209e+00,1.00000000e+00
143,1.50000200e-03,3.62673080e+00,1.00547659e-09
144,1.50000208e-03,3.62673020e+00,0.00000000e+00
145,1.50000224e-03,3.62672900e+00,0.00000000e+00
146,1.50000256e-03,3.62672661e+00,0.00000000e+00
147,1.50000320e-03,3.62672182e+00,0.00000000e+00
